Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,On hand (current),On hand (new)
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-LARGE,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-LARGE,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-SMALL,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-SMALL,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-SMALL,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-SMALL,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-MEDIUM,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-MEDIUM,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-MEDIUM,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-LARGE,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-LARGE,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-LARGE,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-LARGE,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-LARGE,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-X-LARGE,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-ADULT-2XL,1000 Brickell Avenue,,,9999999
